;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
22;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;67059474;2020
23;21;GBR;United Kingdom;London;Europe;242900;277.9289;1.0034;0.85;0.20501840012480826;0.012150224313796297;0.01569628327271751;0.02865912135410525;0.09430064477607944;0.06850593257279525;0.006702438495118528;67508936;2022
24;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;50523586;1970
25;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;53713830;1980
26;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;56412897;1990
27;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;58665453;2000
28;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;62444567;2010
29;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;63809769;2015
30;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;64480053;2020
31;23;FRA;France;Paris;Europe;551695;117.1419;1.0015;0.81;0.2762366669697594;0.0631436573009683;0.050249014080731166;0.039929805413113244;0.10281468379695287;0.032596686914331555;0.0022731836154042864;64626628;2022
32;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;53324036;1970
33;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;56329482;1980
34;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;56756561;1990
