;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
47;181;VUT;Vanuatu;Port-Vila;Oceania;12189;26.8061;1.0238;0.0;3.5818039738447927;326740;2022
48;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;117891;1970
49;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;163591;1980
50;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;211089;1990
51;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;250927;2000
52;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;283788;2010
53;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;291787;2015
54;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;301920;2020
55;183;PYF;French Polynesia;Papeete;Oceania;4167;73.5011;1.0074;0.0;2.5610097462910653;306279;2022
56;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;110982;1970
57;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;148599;1980
58;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;177264;1990
59;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;221537;2000
60;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;261426;2010
61;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;283032;2015
62;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;286403;2020
63;185;NCL;New Caledonia;Nouméa;Oceania;18575;15.6097;1.0075;0.0;2.58062568704835;289950;2022
64;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;142771;1970
65;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;164905;1980
66;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;168186;1990
67;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;184008;2000
68;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;194672;2010
69;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;203571;2015
70;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;214929;2020
71;188;WSM;Samoa;Apia;Oceania;2842;78.2484;1.0165;0.0;1.505410762689902;222382;2022
72;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;88300;1970
73;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;110286;1980
74;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;138263;1990
75;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;160188;2000
76;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;164905;2010
77;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;167978;2015
78;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;169231;2020
