;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Population;Year
50;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;10449837;1990
51;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;12626507;2000
52;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;14989585;2010
53;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;16195902;2015
54;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;17588595;2020
55;67;ECU;Ecuador;Quito;South America;276841;65.0229;1.0114;0.23;1.84964068814842;18001000;2022
56;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;4585693;1970
57;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;5736088;1980
58;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;7096194;1990
59;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;8592656;2000
60;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;10223270;2010
61;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;11090085;2015
62;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;11936162;2020
63;80;BOL;Bolivia;Sucre;South America;1098581;11.1272;1.012;0.15;1.60291345277584;12224110;2022
64;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;2408787;1970
65;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;3078912;1980
66;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;4059195;1990
67;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;5123819;2000
68;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;5768613;2010
69;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;6177950;2015
70;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;6618695;2020
71;109;PRY;Paraguay;Asunción;South America;406752;16.6705;1.0115;0.09;1.747729458852111;6780744;2022
72;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;2790265;1970
73;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;2953750;1980
74;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3117012;1990
75;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3292224;2000
76;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3352651;2010
77;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3402818;2015
78;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3429086;2020
79;133;URY;Uruguay;Montevideo;South America;181034;18.9069;0.999;0.04;0.22894635455772122;3422794;2022
80;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;705261;1970
81;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;778176;1980
82;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;747116;1990
83;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;759051;2000
84;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;747932;2010
85;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;755031;2015
86;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;797202;2020
87;164;GUY;Guyana;Georgetown;South America;214969;3.7621;1.0052;0.01;0.13036450335407743;808726;2022
88;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;379918;1970
89;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;375112;1980
90;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;412756;1990
91;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;478998;2000
92;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;546080;2010
93;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;575475;2015
94;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;607065;2020
95;170;SUR;Suriname;Paramaribo;South America;163820;3.7727;1.0082;0.01;0.597884280292063;618040;2022
96;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;46484;1970
97;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;66825;1980
98;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;113931;1990
99;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;164351;2000
100;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;228453;2010
101;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;257026;2015
102;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;290969;2020
103;184;GUF;French Guiana;Cayenne;South America;83534;3.6459;1.0239;0.0;5.259551673694174;304557;2022
104;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;2274;1970
105;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;2240;1980
106;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;2332;1990
107;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;3080;2000
108;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;3187;2010
109;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;3408;2015
110;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;3747;2020
111;231;FLK;Falkland Islands;Stanley;South America;12173;0.3105;1.0043;0.0;0.6477572559366754;3780;2022
