;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
11;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;67031867;2000
12;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;89237791;2010
13;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;102471895;2015
14;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;117190911;2020
15;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;0.23446253081169352;0.3700795659660484;0.4000535694074404;0.6170157546111613;0.31324307433831483;0.052811373742115544;123379924;2022
16;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;34781986;1970
17;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;43748556;1980
18;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;57214630;1990
19;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;71371371;2000
20;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;87252413;2010
