;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
562;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;14944548;1990
563;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;15899135;2000
564;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;16617116;2010
565;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;17041107;2015
566;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;17434557;2020
567;71;NLD;Netherlands;Amsterdam;Europe;41850;419.6897;1.0036;0.22;1.3372432040470985;17564014;2022
640;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;9629376;1970
641;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;9828986;1980
642;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;9959560;1990
643;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;10264343;2000
644;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;10877947;2010
645;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;11248303;2015
646;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;11561717;2020
647;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;1.2006714661469238;11655930;2022
688;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;8027702;1970
689;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;8311763;1980
690;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;8548406;1990
691;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;8871043;2000
692;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;9381729;2010
693;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;9849349;2015
