;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Population;Year
49;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;122288383;1980
50;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;150706446;1990
51;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;175873720;2000
52;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;196353492;2010
53;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;205188205;2015
54;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;213196304;2020
55;7;BRA;Brazil;Brasilia;South America;8515767;25.2841;1.0046;2.7;1.212271251778629;215313498;2022
56;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;67541860;1970
57;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;83929765;1980
58;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;107147651;1990
59;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;129193327;2000
60;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;148391139;2010
61;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;157830000;2015
62;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;167420951;2020
63;8;BGD;Bangladesh;Dhaka;Asia;147570;1160.035;1.0108;2.15;1.478773178588804;171186372;2022
64;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;130093010;1970
65;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;138257420;1980
66;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;148005704;1990
67;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;146844839;2000
68;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;143242599;2010
69;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;144668389;2015
70;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;145617329;2020
71;9;RUS;Russia;Moscow;Europe;17098242;8.4636;0.9973;1.81;0.11933246067563508;144713314;2022
72;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;50289306;1970
73;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;67705186;1980
74;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;81720428;1990
75;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;97873442;2000
76;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;112532401;2010
77;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;120149897;2015
78;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;125998302;2020
79;10;MEX;Mexico;Mexico City;North America;1964375;64.9082;1.0063;1.6;1.5054690951591179;127504125;2022
80;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;105416839;1970
81;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;117624196;1980
82;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;123686321;1990
83;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;126803861;2000
84;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;128105431;2010
85;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;127250933;2015
86;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;125244761;2020
87;11;JPN;Japan;Tokyo;Asia;377930;327.9753;0.9947;1.55;0.1880906521964674;123951692;2022
88;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;28308246;1970
89;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;34945469;1980
90;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;47878073;1990
91;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;67031867;2000
92;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;89237791;2010
93;12;ETH;Ethiopia;Addis Ababa;Africa;1104300;111.7268;1.0257;1.55;3.1398153386119367;102471895;2015
